locality,bhk,area_sqft,age_years,floor,total_floors,parking_spaces,gym,swimming_pool,security,garden,elevator,furnishing,metro_distance_km,it_distance_km,price_lakhs
Chinchwad,4,1965,24,7,7,1,1,0,1,1,1,Fully-Furnished,0.7,1.4,193.72
Wagholi,1,439,0,10,15,1,1,0,0,1,1,Semi-Furnished,1.3,2.6,30.7
Aundh,3,1566,24,4,11,0,1,0,1,0,1,Semi-Furnished,1.7,4.2,218.51
Viman Nagar,2,1095,19,2,19,2,0,0,1,0,1,Unfurnished,12.1,5.6,112.43
Chinchwad,2,1204,9,3,17,0,1,1,1,0,1,Unfurnished,0.9,12,85.17
Bavdhan,3,796,13,7,7,1,0,0,1,1,1,Fully-Furnished,3.1,5.9,109.26
Pisoli,3,1442,2,2,3,1,0,0,1,1,1,Unfurnished,1.3,7.3,92.86
Warje,2,1071,15,3,4,1,0,0,1,0,0,Unfurnished,2.9,4.7,103.71
Undri,1,639,21,7,12,0,1,1,0,1,1,Semi-Furnished,1.4,4.4,43.42
Baner,2,896,11,14,18,1,1,0,1,0,1,Semi-Furnished,3.5,1.3,137.3
Pisoli,1,518,8,1,8,0,1,1,1,0,1,Unfurnished,0.5,4.6,26.94
Kothrud,1,567,9,3,19,1,1,0,0,1,1,Semi-Furnished,6,1,69.86
Hadapsar,3,1565,21,5,12,1,1,0,1,1,1,Unfurnished,1.6,1.5,126.71
Kondhwa,2,798,24,14,18,1,1,0,0,0,1,Unfurnished,6,2.9,46.95
Wagholi,2,1039,16,18,20,1,1,0,1,0,1,Unfurnished,2.2,13,57.54
Koregaon Park,2,1059,9,3,14,1,1,0,1,0,1,Semi-Furnished,0.8,6.8,255.92
Koregaon Park,3,912,3,3,10,1,0,0,0,0,1,Unfurnished,3.5,7.1,233.47
Wakad,1,697,24,14,18,0,0,1,1,0,1,Unfurnished,10.6,8.2,60.14
Pimpri,1,609,9,1,3,1,1,0,1,0,1,Unfurnished,1.6,1.6,40.08
Pimpri,3,1523,11,3,14,1,1,1,1,0,1,Fully-Furnished,0.6,3.2,148.86
Koregaon Park,2,1000,22,5,9,0,1,0,1,1,1,Fully-Furnished,2.2,4.1,214.11
Undri,2,917,18,8,8,1,0,1,1,0,1,Semi-Furnished,1.9,1.3,75.38
Wakad,3,1309,10,4,6,0,0,1,1,1,1,Unfurnished,5.7,10.5,188.13
Hadapsar,2,1093,12,8,12,1,0,1,1,1,1,Unfurnished,2.4,11.6,90.11
Bavdhan,1,667,2,12,18,0,1,0,0,0,1,Semi-Furnished,3.3,2.7,75.26
Baner,1,638,12,12,15,1,0,1,1,0,1,Fully-Furnished,4.5,2.9,88.92
Hadapsar,1,481,12,2,6,1,1,0,1,1,1,Unfurnished,4.2,2.1,46.08
Warje,2,951,21,8,15,1,0,0,0,0,1,Unfurnished,1.9,1.3,84.16
Hinjewadi,1,604,23,1,4,1,0,0,1,0,1,Semi-Furnished,1.4,10,37.97
Baner,3,1354,16,15,18,0,1,0,1,0,1,Fully-Furnished,2.5,3.6,197.11
Wagholi,1,841,24,4,4,1,0,0,1,0,0,Unfurnished,0.5,4.1,40.11
Kharadi,2,1003,4,12,12,1,1,0,1,1,1,Semi-Furnished,3.9,2.9,161.92
Undri,2,1107,5,2,19,1,1,1,1,0,1,Fully-Furnished,2.7,19.7,112.39
Hadapsar,1,667,18,2,4,1,0,1,0,1,1,Unfurnished,0.9,2.5,54.7
Kothrud,4,1825,13,1,14,1,0,1,1,1,1,Unfurnished,1.8,3.3,279.91
Chinchwad,1,616,5,3,3,1,1,1,1,1,0,Semi-Furnished,6.1,1.1,57.78
Hadapsar,2,1026,12,10,13,0,1,1,1,0,1,Fully-Furnished,5,4.1,107.09
Hadapsar,1,440,9,7,14,0,1,1,0,1,1,Unfurnished,0.7,2.3,37.51
Pimpri,1,590,18,13,15,0,1,0,1,0,1,Unfurnished,4.6,4.2,28.06
Baner,2,1003,16,14,18,0,1,1,1,1,1,Semi-Furnished,10.4,1.4,138.1
Wagholi,2,811,13,5,15,1,1,1,0,0,1,Semi-Furnished,1.2,1.8,50.14
Kharadi,2,1192,6,9,17,2,1,1,1,0,1,Semi-Furnished,3.1,1.8,189.68
Kalyani Nagar,2,1075,11,5,17,0,1,1,1,0,1,Fully-Furnished,2,6.6,251.87
Baner,2,878,13,5,11,1,0,1,1,0,1,Unfurnished,8,2.7,105.91
Aundh,3,1597,9,16,17,1,1,1,0,0,1,Unfurnished,4.2,1.3,327.57
Pimpri,3,1233,8,6,20,1,0,1,1,0,1,Fully-Furnished,0.9,16.8,117.28
Hadapsar,2,759,2,12,16,1,1,0,1,1,1,Unfurnished,2.6,6.7,85.9
Pisoli,3,1362,3,19,19,2,1,0,1,0,1,Unfurnished,5.4,4.1,95.78
Hadapsar,3,958,23,13,15,1,0,0,0,0,1,Fully-Furnished,0.6,1.9,98.42
Pashan,2,786,18,4,4,1,1,0,1,0,0,Unfurnished,0.7,10.3,71.84
Kothrud,2,936,11,1,12,1,1,0,1,1,1,Unfurnished,10.2,2.1,108.82
Aundh,2,760,12,11,12,2,0,1,0,1,1,Fully-Furnished,2.2,5.5,162.69
Warje,1,619,12,5,11,0,1,0,1,1,1,Fully-Furnished,12.4,2.1,54.65
Hadapsar,3,1485,24,2,16,0,0,1,1,1,1,Fully-Furnished,4.7,1.9,122.05
Hadapsar,3,1761,3,5,8,1,0,1,1,1,1,Semi-Furnished,1.4,6.1,219.86
Koregaon Park,3,1209,20,8,8,1,0,0,1,0,1,Unfurnished,3,8.4,253.28
Aundh,2,953,24,7,7,1,1,1,1,1,1,Unfurnished,0.5,3.2,140.76
Pisoli,3,1150,25,4,12,0,0,0,1,1,1,Semi-Furnished,1.7,10.4,48.84
Koregaon Park,3,1306,17,2,10,2,0,1,0,0,1,Semi-Furnished,2.2,1.1,324.55
Pimpri,1,810,11,2,8,0,1,1,1,1,1,Semi-Furnished,0.9,2.7,54.85
Aundh,3,1549,6,5,11,1,0,0,1,0,1,Fully-Furnished,15.5,1.2,297.31
Viman Nagar,2,903,13,1,7,0,0,1,1,0,1,Semi-Furnished,2,8,132.43
Pashan,1,413,15,7,7,1,1,1,1,1,1,Semi-Furnished,5.1,2.4,49.42
Baner,1,403,1,3,4,2,1,0,1,1,1,Semi-Furnished,3.7,2.4,77.96
Kalyani Nagar,1,601,16,5,15,2,1,0,1,0,1,Unfurnished,1.2,1.2,99.42
Kharadi,2,939,10,5,17,0,1,0,1,0,1,Fully-Furnished,9.5,5.4,116.33
Undri,3,1795,8,7,14,0,1,1,1,0,1,Unfurnished,2.7,8.1,152.66
Kharadi,2,865,15,5,7,1,1,1,0,0,1,Unfurnished,7.2,15.6,77.34
Kalyani Nagar,2,972,5,14,17,0,1,0,1,1,1,Semi-Furnished,5,4.2,237.68
Pashan,2,782,23,1,7,1,0,0,1,1,1,Fully-Furnished,3.2,2,69.55
Pisoli,3,1577,18,1,9,1,1,0,0,1,1,Semi-Furnished,1.2,1.4,76.99
Hadapsar,1,400,21,4,6,1,1,0,1,0,1,Semi-Furnished,5.5,10,28.25
Undri,2,1185,8,2,3,2,1,1,1,1,1,Fully-Furnished,4.9,6.3,123.23
Pisoli,1,422,1,6,12,1,1,0,1,0,1,Unfurnished,2.2,1.2,25.82
Aundh,4,1887,12,1,5,1,0,1,1,1,1,Semi-Furnished,0.5,3.7,364.16
Wakad,2,899,25,10,16,2,1,0,0,0,1,Unfurnished,11.3,2.3,82.71
Pashan,3,1183,15,10,11,1,0,0,1,0,1,Semi-Furnished,1.3,1,132.24
Baner,1,668,10,8,17,1,1,1,1,1,1,Unfurnished,4.6,10.4,80.48
Pashan,2,741,25,10,18,0,0,1,1,1,1,Unfurnished,1.7,7.2,56.19
Kalyani Nagar,2,930,1,4,19,1,1,0,1,1,1,Unfurnished,1.9,12.6,211.69
Pisoli,1,540,16,1,3,1,1,1,1,0,1,Semi-Furnished,3.2,6.4,26.78
Hadapsar,2,1013,14,9,17,1,1,1,1,0,1,Fully-Furnished,4.2,1.9,98.38
Pimpri,3,1484,3,1,16,0,0,0,1,1,1,Fully-Furnished,9.6,1.2,131.93
Mundhwa,3,1530,9,12,14,1,1,0,1,0,1,Unfurnished,1.6,7.3,152.22
Wakad,3,1323,22,1,9,0,1,1,1,1,1,Semi-Furnished,2.7,4.6,144.39
Viman Nagar,1,661,24,5,17,1,0,0,0,1,1,Fully-Furnished,5.8,7,70.31
Undri,1,568,14,4,10,0,1,0,1,0,1,Fully-Furnished,8.1,6.9,48.76
Bavdhan,4,1966,15,10,20,0,0,0,1,1,1,Fully-Furnished,1.5,9.2,260.92
Undri,1,544,1,1,19,1,0,0,1,0,1,Semi-Furnished,1.7,20.2,38.63
Undri,2,1066,20,8,14,1,0,0,0,0,1,Unfurnished,4.4,5.1,78.8
Aundh,2,999,21,10,13,1,1,0,1,1,1,Unfurnished,1.9,1.9,159.13
Bavdhan,3,1539,21,13,14,1,1,0,1,1,1,Unfurnished,2,1.1,185.63
Undri,1,448,6,8,8,0,1,1,1,0,1,Unfurnished,4.2,9.5,37.08
Kothrud,3,1500,11,3,8,1,1,0,0,0,1,Semi-Furnished,0.7,4.5,215.17
Wakad,2,1105,15,6,11,1,1,1,1,1,1,Fully-Furnished,1.1,9,157.25
Kondhwa,2,677,3,4,4,1,1,1,1,1,1,Fully-Furnished,0.9,11,82.61
Wagholi,1,552,3,2,8,1,1,0,1,0,1,Semi-Furnished,1.5,11.3,32.5
Wakad,1,706,11,3,13,0,0,1,1,0,1,Fully-Furnished,1.4,5.9,90.62
Undri,2,1182,16,2,8,0,1,0,1,0,1,Semi-Furnished,7.6,1.1,92.65
Kondhwa,2,945,7,7,7,1,1,1,1,1,1,Semi-Furnished,2.9,2.7,99.04
Pashan,1,497,0,3,19,0,0,1,0,0,1,Semi-Furnished,3.4,3,51.4
Hinjewadi,3,1274,1,10,19,1,1,1,1,1,1,Unfurnished,0.7,8.7,199.45
Kothrud,1,546,8,5,19,1,1,0,1,1,1,Semi-Furnished,4,3,60.51
Kothrud,3,1369,25,13,15,0,0,0,1,1,1,Semi-Furnished,9.2,6.1,127.49
Hinjewadi,2,1168,17,4,12,0,1,0,1,0,1,Unfurnished,1.2,3.7,115.89
Wagholi,2,938,7,12,12,1,1,1,1,0,1,Semi-Furnished,1.5,2.6,73.14
Kalyani Nagar,3,1469,3,10,17,1,0,0,1,1,1,Semi-Furnished,0.7,4.7,386.99
Wagholi,3,1354,7,5,14,0,1,1,1,1,1,Semi-Furnished,4.5,7.1,90.15
Aundh,1,415,16,6,9,1,0,0,1,0,1,Semi-Furnished,2,2.5,58.14
Hinjewadi,2,987,14,3,5,1,1,0,1,1,1,Semi-Furnished,1.4,2.7,95.64
Bavdhan,4,1852,22,14,18,1,0,0,1,0,1,Semi-Furnished,3.3,1.4,214.77
Kondhwa,1,545,6,16,17,0,0,0,1,0,1,Fully-Furnished,3.2,5.9,47.18
Wakad,1,470,18,1,12,1,0,0,1,0,1,Unfurnished,0.5,17.8,41.04
Hinjewadi,1,681,18,2,16,2,0,0,0,1,1,Unfurnished,4.2,5.7,49.26
Wagholi,2,832,1,16,16,1,1,1,1,0,1,Semi-Furnished,3.2,11.1,59.24
Hinjewadi,2,1083,14,15,17,0,1,0,1,1,1,Unfurnished,1.2,5.4,111.36
Warje,2,1157,1,9,17,1,1,1,1,1,1,Semi-Furnished,2.1,1.1,179.7
Wagholi,2,770,20,3,20,0,1,0,0,1,1,Unfurnished,2.3,16.8,34.36
Undri,2,1169,0,6,6,2,0,0,1,0,1,Semi-Furnished,1.1,6.6,137.84
Baner,3,1395,19,7,13,1,1,1,1,0,1,Unfurnished,0.8,7.9,190.33
Kondhwa,2,980,8,1,5,2,1,0,0,1,1,Unfurnished,1.4,3.8,90.23
Bavdhan,3,1750,1,3,13,0,0,0,1,0,1,Unfurnished,3.5,2.4,259.95
Warje,3,1299,3,2,4,0,1,0,1,1,1,Unfurnished,1.2,11.5,159.09
Hadapsar,2,882,13,4,5,0,1,1,0,1,1,Semi-Furnished,1.4,2.4,82.89
Wakad,1,593,17,3,7,1,1,1,1,1,1,Unfurnished,4.5,5.7,59.54
Wagholi,4,1655,25,9,10,2,1,0,0,1,1,Fully-Furnished,9.6,10.1,98.21
Mundhwa,2,1075,5,1,3,2,1,0,1,0,1,Semi-Furnished,8.6,4.9,116.98
Pisoli,3,1496,9,2,4,1,1,0,1,0,0,Semi-Furnished,4.6,7.7,78.63
Pimpri,3,1247,6,11,19,1,1,1,1,1,1,Unfurnished,1.9,13.7,103.69
Hadapsar,2,1161,14,1,13,2,0,1,1,0,1,Unfurnished,1.4,3.3,120.16
Kharadi,2,1046,22,13,18,1,1,1,0,0,1,Fully-Furnished,5.1,4,121.25
Pashan,3,1132,11,14,15,1,0,1,1,1,1,Unfurnished,4.2,3.8,151.53
Kothrud,3,1799,14,1,3,1,1,1,1,0,1,Semi-Furnished,8.8,1.3,215.87
Aundh,1,545,15,1,14,0,1,1,1,0,1,Fully-Furnished,2.3,1.1,88.22
Warje,1,603,8,16,19,0,0,1,1,1,1,Unfurnished,0.7,4.4,53.18
Pisoli,1,551,2,3,7,2,1,1,1,0,1,Fully-Furnished,3.7,2.5,42.58
Koregaon Park,4,1730,22,20,20,0,1,0,1,1,1,Fully-Furnished,0.7,2,425.81
Hadapsar,2,1119,13,2,11,1,1,0,1,1,1,Unfurnished,5.5,6.8,97.35
Pimpri,3,1334,17,11,17,0,0,0,1,0,1,Semi-Furnished,1.6,2.4,87.55
Bavdhan,4,2537,7,3,9,1,0,1,0,0,1,Unfurnished,1.8,3.2,399.51
Hadapsar,3,1496,7,4,6,0,0,0,1,1,1,Fully-Furnished,1.6,13.3,170.67
Mundhwa,2,981,24,6,6,1,0,1,1,0,1,Fully-Furnished,1.8,4.5,89.17
Hinjewadi,1,577,25,2,17,1,1,0,1,1,1,Unfurnished,2.9,4.5,37.6
Warje,2,1055,19,8,16,1,1,1,1,0,1,Semi-Furnished,3.9,10.1,94.33
Mundhwa,2,1063,10,2,3,1,1,0,0,1,1,Fully-Furnished,2.2,5.7,126.47
Pisoli,1,647,16,6,11,1,1,0,1,1,1,Unfurnished,1.1,6.9,27.25
Chinchwad,2,937,16,5,14,1,1,0,1,1,1,Unfurnished,1,1,73.01
Koregaon Park,2,1146,21,1,7,0,1,0,0,0,1,Fully-Furnished,2.7,1.9,228
Viman Nagar,3,1258,10,8,9,1,1,0,1,1,1,Fully-Furnished,0.8,2.3,233.94
Mundhwa,2,1364,10,2,8,1,1,0,1,0,1,Unfurnished,1.3,1.3,143.48
Aundh,2,793,6,8,10,1,1,0,1,0,1,Unfurnished,1.2,17.1,132.07
Koregaon Park,2,1153,2,1,14,1,0,0,1,1,1,Unfurnished,2.1,3.8,328.59
Koregaon Park,1,787,9,4,8,1,1,0,1,0,1,Unfurnished,4.1,1.9,178.88
Pimpri,3,873,0,4,7,1,1,0,1,0,1,Unfurnished,6.6,6,76.2
Kothrud,3,1197,16,3,16,0,1,0,0,1,1,Semi-Furnished,3.3,1.6,148.9
Hadapsar,2,866,20,1,10,1,1,1,1,0,1,Unfurnished,4,2.2,62.56
Pimpri,3,1572,16,7,18,1,1,1,1,0,1,Unfurnished,1.2,4.5,111.9
Kondhwa,2,955,16,6,17,1,0,1,1,0,1,Unfurnished,5.2,1.4,71.71
Warje,2,1393,25,2,4,0,0,1,1,0,1,Semi-Furnished,3.5,6.8,97.16
Kothrud,2,1042,2,7,7,0,1,0,1,0,1,Semi-Furnished,5.9,9.6,174
Pashan,2,992,13,13,14,1,0,0,1,0,1,Unfurnished,1.7,8.8,113.82
Baner,2,802,16,18,19,1,1,1,0,0,1,Unfurnished,6.3,11.7,99.87
Viman Nagar,2,880,21,5,13,1,1,1,1,1,1,Fully-Furnished,2,9.1,124.34
Wagholi,3,1391,0,5,12,1,1,0,1,1,1,Semi-Furnished,0.7,11.5,114.19
Undri,3,1570,24,7,7,1,0,1,1,1,1,Semi-Furnished,10.8,1.3,103.16
Pashan,2,909,2,4,13,1,1,0,1,1,1,Unfurnished,1.9,9.1,114.48
Hinjewadi,2,719,4,12,12,0,1,1,1,0,1,Semi-Furnished,1.2,3.2,101.04
Wagholi,2,906,18,3,3,1,1,0,1,0,1,Semi-Furnished,1.9,4.1,54.77
Warje,1,690,12,5,5,1,1,0,1,1,1,Unfurnished,4.2,1,75.73
Wakad,3,1530,5,4,4,0,0,1,1,0,0,Semi-Furnished,2.5,1,229.65
Kalyani Nagar,2,1090,0,6,8,1,1,0,0,1,1,Semi-Furnished,2.9,1.3,302.67
Baner,2,1069,6,7,7,0,1,1,1,1,1,Fully-Furnished,5.1,8,206.81
Kondhwa,3,1417,14,4,11,0,0,0,1,1,1,Semi-Furnished,1,6.6,131.55
Pisoli,3,1681,14,2,17,1,0,1,1,1,1,Semi-Furnished,1.1,2.1,104.76
Chinchwad,2,1044,25,7,8,0,1,1,1,1,1,Unfurnished,7.7,8.1,65.16
Pisoli,1,770,22,2,4,1,0,1,1,1,0,Semi-Furnished,7.1,5.3,32.69
Viman Nagar,3,1193,13,4,20,2,0,0,1,0,1,Semi-Furnished,2.4,7.3,198.6
Pimpri,1,515,1,1,17,0,1,1,1,1,1,Fully-Furnished,1.6,2.4,39.34
Warje,1,563,8,6,6,2,0,1,1,0,1,Semi-Furnished,7.7,4.5,54.5
Pashan,1,509,8,3,8,1,1,0,0,1,1,Unfurnished,5.7,6.4,57.16
Koregaon Park,3,1268,4,12,17,0,1,1,1,0,1,Unfurnished,4,2.5,386.26
Kondhwa,2,1026,22,4,6,1,1,0,0,0,1,Unfurnished,1.7,2.6,73.26
Aundh,2,1090,7,2,9,0,0,0,1,1,1,Unfurnished,1.2,5.5,170.17
Wakad,3,1570,21,3,8,0,1,1,1,1,1,Semi-Furnished,5.6,8.5,157.04
Wagholi,2,895,13,2,6,0,0,0,1,0,1,Unfurnished,0.8,7,50.59
Pashan,1,499,21,11,11,1,0,1,1,1,1,Semi-Furnished,0.6,2.5,40.21
Wagholi,3,1470,18,5,8,2,1,1,1,1,1,Fully-Furnished,0.6,6.5,95.08
Hinjewadi,2,1102,20,11,13,1,0,1,1,0,1,Semi-Furnished,7.1,3,99.57
Aundh,2,1050,22,1,3,0,1,0,1,0,0,Unfurnished,1.4,5.3,128.42
Hinjewadi,2,1114,9,3,9,1,1,0,1,1,1,Semi-Furnished,6.4,31.2,99.38
Hadapsar,1,498,10,4,4,1,0,0,1,0,0,Semi-Furnished,0.6,3.2,44.8
Aundh,2,1050,12,11,19,0,1,0,1,1,1,Unfurnished,1.6,6.3,191.47
Hinjewadi,3,1524,4,2,5,1,1,1,1,0,1,Semi-Furnished,4.8,1.2,232.69
Chinchwad,1,639,6,7,10,0,0,0,1,1,1,Unfurnished,3,5.9,54.78
Undri,1,625,11,7,15,0,1,0,1,1,1,Fully-Furnished,3.1,24.4,49.59
Undri,1,565,12,3,16,1,1,0,0,1,1,Unfurnished,4.2,3.5,48.76
Pashan,2,1075,9,9,15,1,0,0,1,0,1,Unfurnished,8.4,14.2,92.27
Koregaon Park,3,1474,23,8,14,1,1,0,1,0,1,Unfurnished,1.2,28.2,197.46
Pisoli,1,663,1,4,6,2,0,1,1,1,1,Semi-Furnished,3.2,1.3,48.19
Kothrud,2,1293,15,12,14,0,0,0,1,0,1,Fully-Furnished,3.9,3.3,156.54
Kothrud,2,1294,21,3,3,1,0,1,1,0,0,Semi-Furnished,4.1,6.2,138.91
Koregaon Park,1,526,2,7,15,1,1,0,1,1,1,Unfurnished,3.5,5.6,123.99
Bavdhan,2,1084,9,18,19,1,0,0,1,1,1,Semi-Furnished,2.3,6.5,129.16
Baner,1,566,18,14,14,0,1,1,1,0,1,Fully-Furnished,0.6,8.6,78.9
Koregaon Park,1,755,24,14,16,1,1,0,1,1,1,Unfurnished,6,9.1,128.64
Kharadi,2,1007,3,7,17,0,0,0,1,0,1,Fully-Furnished,2.5,3.6,149.07
Bavdhan,2,1036,19,6,6,0,0,0,1,0,1,Semi-Furnished,1.5,13.7,90.35
Undri,3,1751,3,1,3,0,1,1,1,0,0,Semi-Furnished,1.8,1.3,211.5
Warje,2,989,24,8,11,1,0,0,1,1,1,Fully-Furnished,0.8,5.7,87.15
Aundh,3,1174,21,7,15,1,1,1,1,0,1,Fully-Furnished,6.5,11.9,196.08
Warje,3,1526,4,3,3,0,1,1,1,0,1,Semi-Furnished,1.5,9.1,196.57
Kondhwa,2,1038,6,3,3,2,1,0,1,0,1,Unfurnished,11.4,4.1,102.93
Aundh,2,923,12,3,5,1,1,1,1,1,1,Fully-Furnished,11.6,9.5,159.21
Warje,2,969,6,7,7,1,1,1,1,0,1,Semi-Furnished,0.7,2.2,125.76
Wagholi,4,1756,14,8,8,2,1,0,1,0,1,Fully-Furnished,1.4,1.5,131.22
Wakad,2,962,22,1,3,2,0,0,1,1,1,Fully-Furnished,11.3,8.1,92.24
Wakad,3,1388,17,3,18,1,0,0,1,1,1,Unfurnished,1.5,9,165.13
Hadapsar,2,820,22,11,15,1,1,1,1,0,1,Unfurnished,1.3,1.7,62.22
Baner,1,523,10,2,9,1,0,0,1,1,1,Unfurnished,3.9,1.3,61.57
Pisoli,2,1089,12,11,16,1,1,1,0,1,1,Semi-Furnished,1,3.1,62.5
Wakad,2,995,17,11,17,0,1,1,1,0,1,Semi-Furnished,1.6,5.1,111.68
Hinjewadi,3,1328,25,3,4,1,1,0,1,1,1,Fully-Furnished,3.1,4.5,133.87
Undri,2,1052,12,3,4,0,1,1,1,0,1,Fully-Furnished,1.5,4.3,97.1
Kharadi,3,1384,23,5,15,2,1,1,1,1,1,Unfurnished,1.6,9.6,138.9
Undri,4,1771,24,7,15,0,1,0,1,1,1,Semi-Furnished,2.3,7.5,132.53
Wakad,1,783,24,3,4,1,0,0,1,0,0,Unfurnished,5,10.9,66.53
Viman Nagar,3,1479,0,12,14,1,0,1,1,0,1,Fully-Furnished,6,23.8,234.75
Kharadi,3,1344,3,8,14,0,0,1,1,1,1,Fully-Furnished,1.2,4.4,239.32
Warje,1,595,3,7,10,1,1,1,1,0,1,Semi-Furnished,2.5,10.1,78.52
Baner,3,1590,20,5,15,1,1,0,0,0,1,Semi-Furnished,2.1,3,208.5
Kondhwa,1,756,18,9,18,1,0,0,1,1,1,Semi-Furnished,0.9,2.1,53.33
Chinchwad,2,1286,3,2,13,1,1,0,1,1,1,Unfurnished,2.5,6.2,134.64
Wagholi,3,1459,16,3,18,1,1,1,1,0,1,Semi-Furnished,1.9,6.4,81.65
Wakad,1,622,19,1,8,1,1,0,0,0,1,Unfurnished,1.1,2.6,52.33
Wagholi,2,909,24,1,4,2,1,0,1,0,1,Unfurnished,5.7,2.7,39.22
Chinchwad,1,490,16,11,12,1,0,0,1,1,1,Fully-Furnished,1.9,9,38.82
Mundhwa,2,892,6,6,6,1,0,0,1,1,1,Fully-Furnished,2.9,10.3,101.78
Pisoli,2,920,4,3,16,1,0,1,0,0,1,Fully-Furnished,3.9,2.2,62.13
Bavdhan,3,1482,4,7,20,0,1,1,1,0,1,Unfurnished,1.4,2.5,204.34
Kondhwa,2,1080,13,3,7,2,1,0,1,0,1,Unfurnished,4.7,1.8,99.25
Wakad,3,983,13,3,5,1,0,0,1,1,1,Unfurnished,0.8,4.3,126.95
Koregaon Park,1,506,7,2,15,1,0,0,1,1,1,Fully-Furnished,1.3,13,109.45
Wakad,2,664,22,9,12,0,0,0,1,1,1,Unfurnished,4.8,1.8,54.38
Wagholi,2,588,12,5,18,0,1,1,1,0,1,Semi-Furnished,3.2,39.6,24.49
Pimpri,1,547,23,12,14,1,1,0,1,0,1,Unfurnished,5.8,1.9,31.57
Pashan,2,1021,8,8,16,1,1,1,1,0,1,Unfurnished,3.4,13.1,94.18
Baner,1,651,7,2,5,1,0,0,1,1,1,Unfurnished,0.7,1.2,124.61
Bavdhan,3,983,23,4,7,1,1,1,1,0,1,Unfurnished,6,1.9,113.4
Viman Nagar,3,1391,23,3,3,1,1,0,1,1,1,Fully-Furnished,1.3,1.3,212.75
Mundhwa,2,915,5,8,19,0,0,0,1,0,1,Semi-Furnished,3.3,2.6,99.45
Kharadi,2,938,3,11,13,0,1,1,0,0,1,Unfurnished,5.4,3.5,114.97
Viman Nagar,1,546,20,4,15,2,1,1,1,1,1,Fully-Furnished,4.9,2.4,79.46
Mundhwa,3,1537,1,1,14,1,0,0,0,1,1,Unfurnished,8.4,3.4,185.95
Kothrud,1,610,13,7,18,0,1,0,0,0,1,Unfurnished,5,2.3,69.38
Pimpri,1,581,12,5,14,1,1,0,1,1,1,Semi-Furnished,10.3,6.5,35.08
Pashan,1,588,11,1,16,1,1,0,0,0,1,Unfurnished,3.3,6.7,52.41
Hadapsar,3,1574,5,8,9,2,1,0,1,0,1,Semi-Furnished,9.3,11.8,170.12
Hinjewadi,2,867,24,9,15,1,1,1,0,1,1,Semi-Furnished,1.5,17.5,74.13
Hinjewadi,1,688,16,3,3,0,1,0,1,1,1,Unfurnished,14.3,2.9,61.98
Baner,3,1279,7,6,7,1,0,1,1,1,1,Unfurnished,2.3,2.5,228.96
Bavdhan,1,700,22,6,6,1,1,0,1,1,1,Unfurnished,8.7,2,57.41
Hinjewadi,2,1096,8,3,9,1,1,0,0,0,1,Unfurnished,0.7,1.5,119.45
Aundh,1,632,13,2,18,1,1,0,1,0,1,Unfurnished,1,18.2,75.16
Bavdhan,1,609,1,1,8,0,1,0,1,0,1,Semi-Furnished,1.3,4.2,53.66
Bavdhan,1,721,15,6,14,1,0,0,1,1,1,Unfurnished,4.7,5.3,71.83
Kothrud,3,1210,18,12,19,0,0,0,0,0,1,Semi-Furnished,2,11.8,151.42
Mundhwa,1,714,18,4,9,1,1,0,1,0,1,Semi-Furnished,1.5,2.1,55.35
Viman Nagar,2,921,4,2,4,0,1,0,1,1,1,Fully-Furnished,2.2,9.9,150.86
Kothrud,2,1053,22,4,6,0,1,1,1,0,1,Semi-Furnished,2.8,2.7,109.87
Hinjewadi,2,713,18,2,4,1,0,1,1,1,0,Semi-Furnished,3.2,3.8,67.79
Warje,2,1137,12,10,15,0,0,0,1,1,1,Fully-Furnished,1.8,7.6,123.81
Kondhwa,2,1082,22,9,19,1,0,1,1,0,1,Unfurnished,5.7,5.2,71.3
Aundh,2,1110,20,3,7,2,0,1,1,0,1,Fully-Furnished,2,3,195.06
Wagholi,1,588,20,11,14,1,0,0,1,1,1,Semi-Furnished,3.1,4.1,29.99
Bavdhan,3,1703,9,1,13,1,0,0,1,0,1,Unfurnished,0.6,6.4,205.27
Koregaon Park,2,857,24,6,6,1,0,1,1,1,1,Semi-Furnished,1.1,5.2,178.53
Aundh,2,1050,6,3,15,1,1,0,0,0,1,Semi-Furnished,5.6,21.5,160.58
Pashan,1,409,5,8,9,2,0,0,1,1,1,Fully-Furnished,0.7,1.3,53.84
Mundhwa,1,559,4,4,5,0,1,1,0,1,1,Semi-Furnished,1.3,5.8,70.24
Koregaon Park,2,1073,12,1,15,0,0,1,1,0,1,Semi-Furnished,1.8,9.7,188.69
Pimpri,1,591,20,1,3,2,0,1,1,1,0,Semi-Furnished,1.8,3.3,37.07
Pisoli,3,1283,5,6,12,1,0,0,1,1,1,Unfurnished,1.2,1.4,91.82
Kalyani Nagar,1,448,9,5,6,1,1,0,1,0,1,Unfurnished,6,2.3,66.82
Kothrud,3,1640,7,11,15,1,1,0,0,0,1,Unfurnished,5.7,3.4,228.59
Chinchwad,2,720,19,2,13,1,1,0,0,0,1,Semi-Furnished,8.6,1.6,47.53
Hadapsar,2,1029,21,5,16,1,1,1,1,1,1,Unfurnished,2.8,1.2,87.3
Undri,3,902,8,1,5,1,1,1,0,0,1,Semi-Furnished,1,6.3,85.44
